ticker symbol,correlation coefficient,time shift
WBTC-USD,0.7604340086,0
NU,1,3
NU,-1,5
DOUG,1,6
ABR-PF,-1,7
GBLL,1,2
GBLL,1,4
AXH,-1,2
CXAC-UN,1,7
ECC-PD,-1,2
CXAC-UN,-1,8
PSA-PS,1,5
NU,0.9998551051,6
PSA-PS,-0.9992400226,1
NPFD,0.9831847385,6
CNDB,0.9704014539,5
GRBK-PA,-0.9691834552,5
DOUG,-0.9680497663,5
PSA-PS,0.9629962652,9
NU,-0.9513255824,9
EFC-PB,0.9458983988,5
ONL,-0.9212215054,2
GBLL,-0.9197082299,3
IOT,0.9106032986,9
PSA-PS,-0.9046867645,8
ZGN,-0.8804434708,6
BBAI,0.867083374,1
DOUG,-0.8642338435,8
CRGY,-0.8641903309,5
NU,-0.8548338483,7
ZGN,0.8394245355,7
CIAN,0.83935171,9
IOT,-0.8297833814,4
NPFD,-0.8204075554,7
ZGN,0.820375807,3
SONX,0.8001100193,8
INFA,-0.7653551233,9
CINT,0.7584907525,5
WRBY,0.7523929154,8
VLN,0.7519156777,7
KIND,0.7513685892,9
ADAL,-1,3
ADAL,1,5
ALLR,1,4
ALSA,-1,1
AMLX,1,0
AMLX,1,3
AMLX,-1,7
AMLX,-1,9
BCSA,1,8
CFSB,1,4
CFSB,-1,8
CISO,-1,3
CNGL,-1,3
FCNCO,1,1
FCNCO,1,2
FCNCO,-1,3
FCNCO,1,8
HILS,-1,0
HILS,1,3
HOUR,-1,6
IMPP,-1,9
KYCHU,-1,1
MAAQ,-1,0
NSTS,-1,2
NZRO,1,6
OXLCZ,1,0
OXLCZ,-1,2
OXLCZ,-1,3
SCRMU,1,7
SCRMU,-1,8
SPRC,-1,5
SSSSL,1,4
TKLF,-1,0
TKLF,1,1
TKLF,-1,2
TKLF,-1,4
TPG,1,4
UMMA,1,0
UMMA,-1,2
UMMA,-1,3
UMMA,-1,5
UMMA,-1,9
VBOCU,-1,7
HOUR,1,7
IQMDW,1,5
MAAQ,1,4
SCRMU,-1,4
TPG,-1,2
VLNS,1,4
AMLX,1,4
OXLCZ,-1,1
HILS,1,2
TPG,0.9999999212,0
NZRO,0.9996806194,3
IREN,0.9975320485,6
UMMA,0.9971236397,8
HOUR,0.996851661,5
UMMA,0.9964248759,1
IMMX,0.9960094606,9
LIBYW,0.995042054,9
NRSN,0.994541064,4
CFSB,-0.9874733092,1
NZRO,-0.9809298294,1
IMMX,-0.967571372,3
SIDU,0.9665226099,2
GFGF,0.9628392138,0
CING,-0.9601910218,3
VBOCU,0.9597462135,8
SIDU,-0.9566461425,4
NXGL,-0.9543438241,3
BNOX,-0.9510112752,4
ALLR,-0.939792002,7
VBOCU,-0.9385598604,0
SIDU,-0.931621085,6
VLNS,-0.9271609636,0
XPDBU,0.9245088423,0
CING,0.9149711213,0
BNOX,-0.9125183299,5
TPG,-0.9109750925,3
VLNS,0.9050872731,5
XPDBU,-0.8950380961,1
EMBK,0.894411378,8
LIBY,-0.8864611085,6
VBB,-0.8827115057,4
IMPP,-0.8777597947,8
SDIG,0.8693450208,4
VCSA,-0.8639239222,9
SEV,0.8607794006,8
VSAC,-0.8493140541,4
IMPP,-0.837939799,5
HOUR,-0.8265945636,8
LITM,0.8177962761,6
CING,0.8152520303,9
BEAT,0.8131470986,8
SEV,-0.812092476,2
AIP,-0.8100357337,5
HCTI,-0.8090950269,1
NRSN,0.7971004893,2
PRCT,0.7957019604,0
SPRC,0.7946179693,7
FIVR,0.7936822145,6
HCP,-0.7852821682,9
BNOX,0.779796592,1
ATLCL,0.7791818796,0
IOBT,-0.7754489165,9
BITS,-0.7733550329,1
STRN,0.7706936083,4
SIDU,0.767974204,5
LIBYW,0.766179804,5
GFGF,0.7643596084,4
BITS,0.7637446376,0
VTYX,0.7627931357,8
HCP,-0.7586588932,3
OLPX,-0.7582348382,9
BNOX,0.7571100957,6
IMMX,-0.7526733174,6
GNTA,0.7513251022,9
